iter	Logloss
0	0.6717900081
1	0.6515379265
2	0.6338952417
3	0.6168957342
4	0.6015378461
5	0.5883831161
6	0.5755804183
7	0.563826804
8	0.5529145618
9	0.5429824449
10	0.5342385991
11	0.5260652813
12	0.5186250921
13	0.5118274386
14	0.5054938559
15	0.4998761346
16	0.4947134636
17	0.4903967727
18	0.4859498328
19	0.4819872979
20	0.4784121308
21	0.4752165063
22	0.47194881
23	0.4691276848
24	0.4664492368
25	0.4643253872
26	0.4621272083
27	0.459896889
28	0.4580138408
29	0.4561458595
30	0.454606303
31	0.4532700939
32	0.4516970118
33	0.450355616
34	0.4491900159
35	0.4480458104
36	0.4470182522
37	0.4459404072
38	0.445058756
39	0.4444036711
40	0.4436643788
41	0.443053567
42	0.4424636702
43	0.4418069851
44	0.4411375217
45	0.4405348414
46	0.4399893557
47	0.4392979386
48	0.4388235444
49	0.4382939807
