iter	Passed	Remaining
0	51	2532
1	118	2854
2	148	2320
3	213	2458
4	275	2482
5	336	2470
6	372	2290
7	410	2155
8	445	2028
9	518	2072
10	549	1948
11	600	1900
12	639	1820
13	680	1750
14	719	1679
15	767	1631
16	850	1650
17	896	1593
18	936	1527
19	985	1478
20	1032	1426
21	1061	1351
22	1100	1291
23	1137	1232
24	1176	1176
25	1214	1120
26	1299	1107
27	1348	1059
28	1398	1012
29	1474	982
30	1544	946
31	1595	897
32	1631	840
33	1667	784
34	1703	730
35	1738	675
36	1776	624
37	1819	574
38	1861	524
39	1892	473
40	1930	423
41	1972	375
42	2012	327
43	2058	280
44	2102	233
45	2140	186
46	2216	141
47	2273	94
48	2329	47
49	2392	0
